Plateforme,Avis,Notes sur 5
remote.com,"Very good onboarding process, with room for improvementI just started my experience with Remote so I can only speak about their onboarding process. I may add a more comprehensive review in a few months to evaluate the full experience.The task for Remote is not an easy one, here in Poland: taxes are complex and frankly the 4-way communication between ""Remote-Employee-Actual Employer-Company that owns the actual employer"" is hard to manage, everywhere.Overall, I had a very positive experience and I would like to highlight the peaks on both sides.My positives are:- Very good responsivness and competence from Danae: she managed to answer everything up to smallest detail. So big shut out to her and the Poland team!- It's good to have one single place for all paperwork: I am so happy I don't have to keep hard copies of all the stuff I sign!Negatives:- Process not perfectly tweaked: We had a meeting with all parties involved (like I said, 4 of them). In this meeting the most common problems were addressed and each one of us had question. However I didn't feel I wanted to share all my questions with everyone. After that meeting I booked an individual one where all my doubts were solved but we were on a very short time frame so it was a bit stressful. Of course the need of questions would have been smaller if there were more details in the initial pdf we received. So I suggest to have the first onboarding meeting earlier so that people know whom they could contact for clarifications and provide more detailed information about the contract upfront.Not sure if these are problems that are caused by remote:- It was a bit tricky to get the after tax estimation of my salary: I got it eventually but it got lost a little bit in the communication channel between the companies.- Short timeframe for the onboarding process: we only had a bit more than a week to complete all the process (meetings, agreements, paperwork, etc). I would have preferred start much earlier.Date of experience: June 01, 2023",4
remote.com,"ExpensesThe way they handle expenses is at first look great. but when it comes to getting them paid out it don't work.I have to wait 1 1/2  month for them to get my approved expenses for over 700 Euro, paid out.Now at the point where a cant afford to work true Remote.com.Date of experience: June 01, 2023",4
remote.com,"GoodA great ExperienceDate of experience: May 31, 2023",4
remote.com,"Customer support is super friendly and willing to help youThey helped me to solve the issueDate of experience: May 31, 2023",4
remote.com,"Truly positive and smooth experienceTruly positive and smooth experience, especially the customer support team. They always react the same day and in most of the cases your issue is getting resolved on the spot. Special thanks to Brigitte for helping out on the latest submitted case in a quick and professional manner.Date of experience: May 28, 2023",4
remote.com,"A team of great professionalsMy experience with Remote has been fabulous! They always assisted me with any concern I had in a timely manner and with great professionalism.I definitely recommend them.Date of experience: May 31, 2023",4
remote.com,"A pleasant remote working experienceTheir system is robust and easy to browse and find materials regarding HR needs. Their support staff are friendly and prompt and always helpful. They help company to hire virtually anywhere in the world which, in turn, help people to get hired anywhere in the world. A win-win solution for all!Date of experience: May 30, 2023",4
remote.com,"Efficient ServiceEfficient ServiceThanks Uche - User Happiness Manager for making my request so easily understandable and getting back to me asap ensuring my matter is understood and resolved. Appreciate your support and your patience.Date of experience: May 30, 2023",4
remote.com,"Helpful and detailed but it took time to get itIt was very detailed but it took some time to get itDate of experience: May 30, 2023",4
remote.com,"A great service unless something goes wrongEDIT: The below issues have now (finally) been resolved after many hours of back and fourth, 2 video meetings, and multiple additional mid-payroll-cycle payments.Unfortunately, I believe I only received the level of support that I did in large part to the negative review.This has been one of the most stressful things I have ever been through, while also having a newborn child.I was considering upping my rating to 3 stars because of the resolution but they just emailed me all their in-country customers' email addresses (and so them, mine) through an ill-conceived and unsolicited calendar invitation. They can't catch a break.---For a year I had no issues using Remote. Onboarding was easy, their dashboard is great to use, and I was able to request various documents for things like purchasing a house.However, in the last few months they have made some severe mistakes. One prevents me from contributing to a pension (even privately away from Remote) and also involved incredibly awkward conversations with my employer.The second resulted in only being paid half of my salary due to multiple mistakes and wildly inaccurate deductions for parental leave.One issue has no resolution and one is still ongoing but Remote sent me a link to review them while in the middle of all this. Weird.I can only assume that they are suffering from scaling their business to meet demand. The alternative is that they are incompetent so I hope it's the former.Oh, and there is no dedicated person to reach out to for anything. You have to use their stupid chat widget which spews links to help articles until it decides you can leave a message.I hope they resolve my issues, and I hope their level of service recovers. I want them to succeed, but they have let me down significantly.Date of experience: May 30, 2023",4
remote.com,"Quick and accurate responseQuick and accurate response, I was able to talk to a CS person in less than 3 minutes, which I appreciate, and they were very helpfulDate of experience: May 30, 2023",4
remote.com,"Superb supportSuperb support. They answered all my questions in a timely manner.Date of experience: May 29, 2023",4
remote.com,"Helpful and responsiveChristopher Davis responded quickly and answered my query.Date of experience: May 26, 2023",4
remote.com,"Top notchSpeaking as an employee of a company who uses Remote.com, customer service has been top notch and I've really not had to worry about anything regarding my monthly salary, benefits and any claims I've had to make.Date of experience: May 26, 2023",4
remote.com,"Great and prompt communication to the…Great and prompt communication to the point!I had a configuration issue with my banking details on my account. I was immediately notified and the issue was handled directly.Even so, manual actions were taken to make sure that my payment is on time, no matter the temporary issue.The agent was very helpful and communicative!Great support!Date of experience: May 24, 2023",4
remote.com,"East platform to useEast platform to use. Intuitive and easy UI. Very digital-company/platform that manages the full contract, payslips and payment in my contract with my foreign contractor.No issues, only that the didn’t deduct taxes during the first 2 month of my contract and I didn’t realise until taxes came this year!Date of experience: May 21, 2023",4
remote.com,"Does what it saysDoes what it says. Nice interface.Date of experience: May 21, 2023",4
remote.com,"Important InfoEverything was greatDate of experience: May 21, 2023",4
remote.com,"Smooth onboarding experienceDate of experience: May 21, 2023",4
remote.com,"Remote is the perfect solution to meRemote is very helpful. A perfect solution for remote positions. I’m more than happy with them.Date of experience: May 21, 2023",4
remote.com,"OvertimeVery pleased with the service and speedy reply!Date of experience: May 21, 2023",4
remote.com,"Great resource for foreign employmentRemote is an excellent alternative to working for a foreign company but get paid in your local currency and not having to worry about tax withholdings and filing foreign tax returns.  The only drawback is Remote appears to be licensed in one province in Canada so there is a minor issue with provincial taxes. Even taking that into consideration, Remote has saved me a lot of time and headaches.Date of experience: May 22, 2023",4
remote.com,"One of the best EoR providersWe have recently transferred our employees from another EoR to Remote and I am very pleased. The platform itself is easy to navigate and has been well received from both the client and employee. Billing and account reconciliations are straight forward and very visible. The service is good value for money compared to other company's. The account management we have had since joining have been very friendly and supportive with queries. I have no complaints at all and would highly recommend.Date of experience: May 22, 2023",4
remote.com,"just ideal service for whom it is…just ideal service for whom it is needed!Date of experience: May 21, 2023",4
remote.com,"Remote France is great!I just joined remote via my company which hires me and it’s great! From France you have Alan as health care, as I have to travel I have lot of expenses and it goes super fast via remote App (your direct boss receives direct notifications and validates them).My account manager is always super helpful and I get replies to my questions each time! I did not want to be freelancer and for me it’s the best option I had as I already tried out one competitor and it was not convenient for me or the company.Date of experience: May 21, 2023",4
remote.com,"Fast and efficientFast and efficient. All my questions are answered within 1 working day. User-friendly user interface, clear and concise.Date of experience: May 17, 2023",4
remote.com,"All greatAll great, would recommend.Date of experience: May 17, 2023",4
remote.com,"Horrible customer experience, disgusting companyHorrible customer experience, even from the sales team. We upgraded from 1 to 5 people under the promise of a discount. At the end of the day this is a 25k a year license, so really not a cheap service.The sales rep went on holiday in spite of our repeated requests to expedite, and we were not assigned someone else. We had to onboard the extra 4 people due to their employment starting. Guess what? No discount, no nothing, not a care in the world.Really poor sales team as well and poor interactions throughout, getting useless material sent over time and time again, but failing to deliver anything promised on time, or to offer anything that's of actual substance.We have completely shifted all our other EOR employees from remote.com.Date of experience: April 14, 2023",4
remote.com,"Remote.com doesn't care about Customers at allI had a terrible experience with Remote.com when I needed to send money back. Unfortunately, the way they handle their transfers caused a lot of issues. They were unable to provide the correct bank details, and even the internal bank communication turned out to be wrong. It's hard to believe that this could happen. To make matters worse, their customer service didn't seem to care that I was without my money for over a month. I tried to get in touch with them, but there was no phone number available, and they couldn't provide me with any direct contacts to help me out. After this experience, I have no desire to use Remote.com again, and I certainly wouldn't recommend it to anyone.Date of experience: April 19, 2023",4
remote.com,"SWIFT RESPONSE. The team was very swift to answer my…The team was very swift to answer my questions and help me resolve my issue.Date of experience: April 07, 2023",4
remote.com,"The very worst company to manage…The very worst company to manage payroll.They are never in contact or comunnication with your comoany.They pay you what they want when they want it.Aftee 2 years every minth u have been chasing for my money and they dont care to communjcate with the other company and handle thinfs right If you are abke to run away from this company do it.Date of experience: April 04, 2023",4
remote.com,"A+ to Remote Onboarding and Help teamsWe have been using Remote as our EoR platform for a while now and their onboarding and help teams are just amazing.  So responsive and timely and things are never a problem.  It's a refreshing change to get such service!  Thanks Franzel and team :-)Date of experience: March 29, 2023",4
remote.com,"I have been waiting a month for my ROE…I have been waiting a month for my ROE from Remote after being terminated without cause. There is a recession going on and they are taking their damned time with this.As an employee who has managed people globally, I will be making sure not to purchase Remote in the future. Horrible CS.Date of experience: March 29, 2023",4
remote.com,"Very slow and bad customer serviceVery slow customer service. Necessary legal paperwork, which can normally be requested and obtained in 1 day, takes at least 2 weeks at Remote.com. There is also a customer service team that can't really help with anything, everything has to be passed on to the payroll team, and those people are never available and always busy which makes it take ages before you get help and an answer.I definitely do not recommend it!Date of experience: March 23, 2023",4
remote.com,"thanksthank you for the prompt assistance you provideDate of experience: March 09, 2023",4
remote.com,"Awesome in all aspects.Date of experience: March 16, 2023",4
remote.com,"I got excellent service from RemoteI got excellent service from Remote. From day 0, Brian Dolan (our account rep) made sure to update me exactly on how it's going with our hires, proactively looked to help with any needs we had, and quickly answered questions re payments. Very happy with the depth of support no matter the scale of hiring.Date of experience: March 10, 2023",4
remote.com,"I am very satisfied with the support…I am very satisfied with the support provided by this company, and I would like to give a special shout-out to Brian Donal. He is incredibly responsive and takes care of all of my requests and questions in a timely and professional manner. I appreciate his dedication to his work and the company's commitment to providing excellent customer service. I highly recommend this company and appreciate team.Date of experience: March 10, 2023",4
remote.com,"Super simple and cleanThe updates are always super fast and the UI is also 10/10.Date of experience: March 07, 2023",4
remote.com,"Good experienceThe remote experience has been great with great UIDate of experience: March 06, 2023",4
remote.com,"The platform really worksThe platform really works. Notifications arrive on time, and expense reporting, which is the feature I use the most, is functional.Date of experience: March 07, 2023",4
remote.com,"Software engineerGetting my invoices paid at time without delay via Remote website is awesomeDate of experience: March 06, 2023",4
remote.com,"Awesome serviceThey are awesome :)Date of experience: March 06, 2023",4
remote.com,"Simple interface and great support teamDate of experience: March 06, 2023",4
remote.com,"The company helped with my hiring by a…The company helped with my hiring by a company outside my country. This is wonderful.Date of experience: March 07, 2023",4
remote.com,"Good serviceI had two questions, one was answered directly and I need to wait up to 48 hours to get a response from a inquiryDate of experience: March 06, 2023",4
remote.com,"Great Company in Remote workingVery helpful in any queries and very easy to use website which has everything in right places.Date of experience: March 07, 2023",4
remote.com,"Working remotely made easySuch a smooth set up and running system. Never had a single issue and they are always prompt to reply and assist. I love that I can work for an international company but remain tax compliant within my own country and not worry about anything. The platform is easy to navigate and use. Love Remote.com!Date of experience: March 06, 2023",4
remote.com,"SimpleSimple, fast in response to any doubts. User friendly.Date of experience: March 07, 2023",4
remote.com,"Simple and effective toolIt is an extremely simple service to use and stay. The transfer process is sometimes a little slow, but it is understandable and does not take away from the excellence.Date of experience: March 07, 2023",4
remote.com,"efficient and simple to useDate of experience: March 06, 2023",4
remote.com,"They have great employee benefits and…They have great employee benefits and if you have inquiry regarding payroll they will promptly assist you😊Date of experience: March 06, 2023",4
remote.com,"Strong experienceStrong experienceSpeaking with someone would be great alsoDate of experience: March 06, 2023",4
remote.com,"Salary on time.Salary on time.Support team responses.Cooperative team reach.Overall experience is very good.I am very satisfied with the support provided by this company, and I would like to give a special shout-out to it's support team.. They are incredibly responsive and takes care of all of my requests and questions in a timely and professional manner.Date of experience: March 07, 2023",4
remote.com,"I highly recommend Remote.com as an…I highly recommend Remote.com as an Employee who is working remotely in a US a company, everything is working smoothly in Remote.com, support team was very helpful when I had a payment issue related to bank restrictionsDate of experience: March 02, 2023",4
remote.com,"Remote has made it easy to seamlessly…Remote has made it easy to seamlessly work with a company outside my country of residence. It’ll be 5 star review if only they responded to complaints more promptly— minimum response time in 2 days, even for urgent issues. That said, they are rather polite and effective and resolving problem.Date of experience: March 02, 2023",4
remote.com,"Working with remoteThey have been easy to work with from set up to now. Dealing with all local laws while working remotely. Easy to use dashboard and access to documentation.I'm able to just get paid at the end of the day and not worry about anything :)Date of experience: March 02, 2023",4
remote.com,"Good in terms of reaching support but…Good in terms of reaching support but the handling of details or minor issues is below average and they can take a long time to be fixed by Remote.Date of experience: March 02, 2023",4
remote.com,"Great experience.So far my experience has been great! During onboarding I was assigned to a contact person who was very friendly, helpful and fast. Also after onboarding, when I had questions, a person from the Support Team took care of it, gave pro-active updates and again was very friendly and helpful. All processes seem well planned and structured. This is also reflected in the online portal, where employees basically find everything they need in regards to orga, documents, etc. From an employee perspective, I can absolutely recommend Remote and I am very happy here.Date of experience: March 02, 2023",4
remote.com,"Great service and interfaceGreat service, customer friendly plateform/interface, easy to use. The people at Remote are very nice, polite and reactive. And will do their best to help you with your requests.Date of experience: March 03, 2023",4
remote.com,"Very good and reliable serviceVery good and reliable service. Great customer service, as they respond to queries very promptly and in a constructive way. Also a good easy to use platform to manage all your work. Would def recommend themDate of experience: March 02, 2023",4
remote.com,"Excellent customer supportExcellent customer support. Thank you so much.Date of experience: January 10, 2023",4
remote.com,"Terrible experienceTerrible experience. Zero onboarding, no information about the perks, they calculated wrong my salary and in addition to that they are not following the local rules as they haven't provided me yet my contract. 0 recommendedDate of experience: March 04, 2023",4
remote.com,"At landlele we use remote.com since…At landlele we use remote.com since some time, they are very flexible, fast, precise and do their best to keep the price of their services very very low.Date of experience: March 02, 2023",4
remote.com,"Support is goodSupport is good, it does not take long to response via emailDate of experience: March 03, 2023",4
remote.com,"Everything!Date of experience: March 02, 2023",4
remote.com,"Extremely responsive customer serviceExtremely responsive customer service.  Knowledgeable employees.Date of experience: March 03, 2023",4
remote.com,"Remote.com is greatRemote.com is great - fast support answers, easy to use interface!Date of experience: March 01, 2023",4
remote.com,"They are the the devil...They produced an edge case for me as employee now having to struggle with locial social insurance, not being capable to take on a new job as they simply lay you off without signing you out as employeee from social insurance. No one has a clue there on national working laws or regulations. They are absolutely not to trust, acting unlawful and not giving a proper thought on your enquiries...AVOID AS HELLDate of experience: March 01, 2023",4
remote.com,"Fantastic User Happiness service from…Fantastic User Happiness service from Remote! Prompt replies, regular check-ins with updates (even when there aren't any, just for peace of mind!) and always deliver. Thank you!Date of experience: February 26, 2023",4
remote.com,"Excellent service!Date of experience: February 21, 2023",4
remote.com,"To avoid absolutelyFrom day 1, they have made mistake on contract, payment, payslip, expense report, everything you could imagine they would get it wrong.They are completely clueless about local regulations.No one will answer you in timely manner. Support Ticket can unattended for weeks.  ONLY email support! You have been warned. DO NOT USE THEM.Date of experience: January 30, 2023",4
remote.com,"Brian Dolan was a super-reactive Account ManagerBrian reacted quickly to our queries and escalated when necessary.   Having the slack shortcut as a means to communicate suits us really well.Date of experience: February 07, 2023",4
remote.com,"One of the best in employing remote-based employeesOne of the best in employing remote-based employees. Excellent support for the employees and also their corporate customers. I strongly recommend them.Date of experience: February 01, 2023",4
remote.com,"Remote is one of the best …I think that Remote is one of the best  portage salarial companies. The onboarding service is very fast and in my opinion, during the life cycle of work, they are very attentive and come back very quickly to provide solutions. In addition their website is well done and simple to use, without much clutter. You know very quickly where to find the information you need. Personally, I have contacted Jessica and China many times and my concerns have always been answered quickly and satisfactorily.Date of experience: February 01, 2023",4
remote.com,"Diligent and caring supportRemote is a very expensive service (at least for a European salary), but I have only good things to say about their support team. So far, every time I've had a problem they have been very friendly, professional and helpful. Thanks to Toyin, Pedro Antunes, Chioma and GiuseppeDate of experience: December 31, 2022",4
remote.com,"Thank you Toyin for your help with a…Thank you Toyin for your help with a complicated contract issue - really appreciate it!Date of experience: January 22, 2023",4
remote.com,"Overly prices payroll services and poor customer serviceOur experience with Remote started nearly a year ago but their customer service hasn't been consistent throughout and their prices are outrageous. Their team in Morocco lacks the knowledge of local labor laws which made the onboarding process of our employees not go well. One of our employees mistakenly received a substantial $ amount for his paycheck which was a large mistake that shouldn't have happened. Currently, we are still battling to get them to process the payroll of one of our contractors. When it comes to their fees, it was quite straightforward with only one cost however it's quite expensive to charge $7000+ for an employee overseas. They are starting a new payment program however for small businesses we have yet to see the benefit of using it. They were very responsive when we were first considering them but as time has gone by they have become less responsive, especially to our staff.Date of experience: January 20, 2023",4
remote.com,"They are just not taking responsibility…They are just not taking responsibility for anyone joining them. Appalling service, I am still hoping that my situation can be resolved, but hope is not always paying outDate of experience: January 18, 2023",4
remote.com,"Always providing the maximum amount of…Always providing the maximum amount of Information, very clear and fast. Toyin was very helpful and customer oriented. Thank you!Date of experience: January 16, 2023",4
remote.com,"I waited 8 months for an answer about…I waited 8 months for an answer about my accident insurance.As soon as you ask a question specific to your employment, i.e. why you work with them, there are random answers that make no sense from customer success agents that have no idea what they are talking about.Date of experience: December 06, 2022",4
remote.com,"It was great experience with AkshathaIt was great experience with Akshatha. Helped me a lot.Date of experience: January 10, 2023",4
remote.com,"Misunderstood requestI had to restate what I needed twice, before remote understood my request. I had to even put in another request to get a response. When Remote did respond they provided inaccurate instructions and videos stating where the handbook should be located and it was not there. I had to respond with screenshots showing where they directed me, what I needed was not in that area, remote then sent a link that I did not have access to and finally send a pdf of my request, before the ticket was closed. I just wish it did not take so many requests or attempts to get my issue resolved.Date of experience: January 03, 2023",4
remote.com,"Responsive with a human touchResponsive with a human touch, never fails to solve a user problemDate of experience: January 10, 2023",4
remote.com,"Transition to RemoteFranzel, the Global Employment Specialist, has been super helpful to work with. Our organization has been using a different EOR service but had a terrible experience. After transitioning to Remote, I have felt relieved every step of the way. Their processes are easy, and the customer service team is very responsive and polite.Date of experience: January 10, 2023",4
remote.com,"Amazing Customer SupportFranzel F. has been an amazing customer support specialist. She is consistently responsive and thorough in her follow-ups. Meetings are informative and to the point. She doesn't waste time but always nice and friendly. Top-notch customer service.Date of experience: January 09, 2023",4
remote.com,"Quick and seamless onboardQuick and seamless onboard, super efficient and knowledgeable team. Recommended.Date of experience: January 09, 2023",4
remote.com,"Goodexcellent payment partnerDate of experience: October 31, 2022",4
remote.com,"Very Positive ExperienceWe have been working with Remote since late 2021, with the vast majority of onboarding taking place in 2022. My overall experience has been very good and positive!At first, we were working with a customer representative, who was overall competent and helpful. However, when we started to bring in more people to the organization, things started to fall through cracks a bit. We genuinely care about our employees having a great experience while onboarding, so we brought these issues up with Remote. They responded immediately and we came up with a better system of tracking all the information, which worked really well. As we continued to grow, we were introduced to a new senior customer representative, Sarah, who is fabulous, knowledgeable, and is one of the best collaborators I have ever worked with. Response time to all of our inquires has been very quick, communication has been transparent, and consequently, we have been able to successfully onboard approximately 45 people since 2022 (and more to come).Some advantages and concrete examples of the positive assessment of working with Remote:* User friendly platform for onboarding and managing employees that is continuously being updated and new functions are added - some functions might not be available yet, but I notice improvements and changes being implemented on a regular basis (e.g., Onboarding section, requests button, employee cost calculator).* Onboarding and offboarding processes are well described in the platform and easy to follow.  * There is a lot of information in the Country Explorer section on Remote's website, including onboarding time for available countries, benefits information, public holidays, and more.* Remote offers generous resources on hiring (on the website, but also webinars), which can be quite helpful.* Remote's pricing and fees are affordable and they have 4 different plans that support different types of organizations (e.g., startups or nonprofits).I think one of the greatest benefits of working with Remote is that they continuously make improvements (if a feature is not available today, it doesn't mean that it won't be in the next few weeks / months) and they grow their teams in terms of capacity, but also knowledge. Mistakes happen everywhere, but for me, it's about how they are addressed and what is done to prevent similar mistakes from happening in the future. Remote is open to feedback and I believe that if collaboration is not at the place where it should be, there is room for change and creative solutions, which I appreciate a lot. Based on my experience, I would recommend Remote as an Employer of Record!Date of experience: January 04, 2023",4
remote.com,"Great support teamI had some questions regarding my work contract and my country work laws and promptly and throughfully answered.Date of experience: December 26, 2022",4
remote.com,"Help center: Efficiency and careI really like Remote and overall their help center.I had 3 questions and even with Christmas in between I got a reply the first working day, not all the questions were answered at once but the contact I had contacted each of the departments to get the information and waited for the answers. She kept me updated at all times and managed my expectations on when I could receive the information. At the end, everything was resolved and she informed me to a complete satisfaction. Really great experience.Date of experience: December 28, 2022",4
remote.com,"A colleague mentioned RemoteA colleague mentioned Remote, and they quickly solved an issue with onboarding non-traditional staff, and BAM!! it was solved.  They have a User Happiness department that is kind, courteous, and fast.   Give them a try.Date of experience: December 14, 2022",4
remote.com,"Good ResponseDate of experience: December 25, 2022",4
remote.com,"Switching to Remote was the best choice.I transferred to Remote from another popular EOR and I couldn't have asked for a more helpful onboarding.Remote's support is very clear, straightforward, and not spread across multiple channels and email threads compared to my previous experience which required multiple follow-ups to hear back from.They helped me navigate a tricky visa situation and helped me understand the complicated process in a simple way.Would highly recommend using Remote to hire abroad cause they really take the stress out and I'm thankful for that.Date of experience: November 30, 2022",4
remote.com,"Great serviceThe response was really fast and my request was solved efficiently.Date of experience: December 21, 2022",4
remote.com,"Terrible onboarding and customer…Terrible onboarding and customer support, and then on top of all that, delayed salary payments. This company has no idea how to run a business. Stay away.Date of experience: November 30, 2022",4
remote.com,"Strange contract and no local knowledgeI was new in the country that I was being hired in, and usually I would expect my employer to be able to help me out with the tax and social security registration that I need to do. Remote didn't know how that worked for the country I was working in and repeatedly gave me the wrong information. I was left alone to find out how evertything worked and deal with the tax office and when I passed the information to remote I was told that I was wrong over and over again.In addition, the contract contained things which didn't make sense and was vastly over-restrictive.These things were only resolved with the intervention of the company hiring me through remote, but they were resolved.I don't feel I can go to remote for advice of how to deal with the tax authorities or to find out what I'm entitled to.Date of experience: August 31, 2022",4
remote.com,"Responsive Customer help serviceDate of experience: December 19, 2022",4
remote.com,"Fast replies and extremely detailed…Fast replies and extremely detailed information! Oluwakemi was amazing!!!Date of experience: December 18, 2022",4
remote.com,"User supportMy customer service experience with the Remote user happiness manager Yemi was great. My complaint was attended to and sorted timely despite the huge volume of tickets.Date of experience: December 15, 2022",4
remote.com,"Great SupportAs soon as I had an issue with a transfer the support contacted me before I did it. Everything was solved within 1 day and I received my transfer.Date of experience: December 13, 2022",4
remote.com,"Remote.com doesn't care about employees, only their employers, and it shows.I was an employee with Remote.com outside of the US.  The entire experience has been awful.  First, they took over 2 months in getting me my contract, and I had to initiate the request. If they work in a country, they should understand how a country operates regarding employment.  Their support people have been friendly.. but generally unhelpful, and in multiple cases I've had to assume the effort to ensure that payments that they've failed to make to me actually happened, which involved multiple follow-ups and escalation within my company.  In a lot of cases, I've had to assume what is essentially another part-time job to make sure that they are fulfilling their obligations.If they screw up on payment, they refuse to do one-offs to make it right, so you are stuck waiting 30 days and hoping they've fixed it.  When they screwed up my payroll, they did it two months in a row so it was 3 months before I was actually getting my correct salary amount.There's not a single contact (or set of contacts) for my other company, so if I need help I have to go through their general support, and deal with a different person every time.I don't know what it's like on the employer side, but as an employee, I've found it incredibly hostile and not really useful.Date of experience: December 14, 2022",4
remote.com,"Great customer serviceI just had a short experience with Remote, but the customer service was excellent and quick. Special thanks to Eka that helped me out.Date of experience: December 15, 2022",4
remote.com,"Good Experience with RemoteFast Response, good answersDate of experience: December 13, 2022",4
remote.com,"PayslipSuper responsive and clear answer about my concern!Date of experience: December 15, 2022",4
remote.com,"Great user support from OluwakemiHello! Oluwakemi from the user support was just amazing. Quick responses, very clear information and super friendly. 10/10 user support.Date of experience: December 14, 2022",4
remote.com,"I'm using Remote since a couple of…I'm using Remote since a couple of months and my experience so far has been great! Their customer support team is very prepared and nice and it takes them less than 24h to reply. Overall this service let me work in Italy and live so it's very precious.Date of experience: December 14, 2022",4
remote.com,"Remote & Maruthi MedisettyRemote's offering and quality of service overall is amazing. Certainly the best EOR with the widest coverage. But I have to be honest, what makes Remote stand out for me is the care, attention and responsiveness of my Account Manager, Maruthi Medisetty. Usually an AM disappears once you've signed the dotted line, not Maruthi. I feel very lucky to have Maruthi as my first and consistent experience of working with Remote. He has made a lasting impression and is the perfect ambassador. Thanks for all your help, Maruthi! 😊Date of experience: December 14, 2022",4
remote.com,"Onboarding experience in IrelandThanks a lot for support with fast and transparent relocation process to Ireland.Date of experience: October 30, 2022",4
